id,parentId,name,lastName,position,image,email,phone_number,hire_date,job_id,salary,commission_pct,department_id,job_min_salary,location_state,job_max_salary,department_name,department_location_id,department_location_street_address,department_location_postal_code,department_location_country_id,department_location_country_name,department_location_country_region_id,department_location_country_region_name
International Tourist & Hotellers Ltd,John Keells Hotels PLC,International Tourist & Hotellers Ltd,10204614,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,JMURMAN,515.124.4469,2006-04-06T20:00:00.000Z,FI_ACCOUNT,7800,,56,4200,Washington,9000,Finance,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
Rajawella Hotels Co Ltd,John Keells Hotels PLC,Rajawella Hotels Co Ltd,10201531,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,LPOPP,515.124.4567,2008-01-06T20:00:00.000Z,FI_ACCOUNT,6900,,-22,4200,Washington,9000,Finance,1700,2004 Charade Rd,98199,US,United States of America,2,Americas
Yala Village (Pvt) Ltd,John Keells Hotels PLC,Yala Village (Pvt) Ltd,10204615,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,MWEISS,650.123.1234,2004-08-17T20:00:00.000Z,ST_MAN,8000,,8,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
Wirawilla Walk Inn,John Keells Hotels PLC,Wirawilla Walk Inn,10201537,Associate,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,AFRIPP,650.123.2234,2005-05-09T20:00:00.000Z,ST_MAN,8200,,11,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
Beruwalla Holiday Resorts (Pvt) Ltd,International Tourist & Hotellers Ltd,Beruwalla Holiday Resorts (Pvt) Ltd,10210600,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,PKAUFLIN,650.123.3234,2003-05-31T19:00:00.000Z,ST_MAN,7900,,9,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
Trinco Walk Inn Ltd,John Keells Hotels PLC,Trinco Walk Inn Ltd,50517049,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,SVOLLMAN,650.123.4234,2005-11-09T20:00:00.000Z,ST_MAN,6500,,12,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
Indra Hotels & Resorts Kandy (Pvt) Ltd,John Keells Hotels PLC,Indra Hotels & Resorts Kandy (Pvt) Ltd,50208505,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,KMOURGOS,650.123.5234,2007-12-15T20:00:00.000Z,ST_MAN,5800,,4,5500,California,8500,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
Cinnamon Holidays(Pvt) Ltd,John Keells Hotels PLC,Cinnamon Holidays(Pvt) Ltd,50263016,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,JNAYER,650.124.1214,2005-08-15T20:00:00.000Z,ST_CLERK,3200,,2,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
Mackinnon Keells Ltd,John Keells Holdings,Mackinnon Keells Ltd,,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/mackinos.png,IMIKKILI,650.124.1224,2006-10-27T20:00:00.000Z,ST_CLERK,2700,,5,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
Mackinnon Mackenzie & Company (Shipping) Ltd,Mackinnon Keells Ltd,Mackinnon Mackenzie & Company (Shipping) Ltd,50279806,Subsidiary,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,JLANDRY,650.124.1334,2007-02-13T20:00:00.000Z,ST_CLERK,2400,,18,2008,California,5000,Shipping,1500,2011 Interiors Blvd,99236,US,United States of America,2,Americas
Mackinnon & Company of (Ceylon) Ltd,Mackinnon Keells Ltd,Mackinnon & Company of (Ceylon) Ltd,50751759,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
Mackinnon Travels (Pvt) Ltd,Mackinnon Keells Ltd,Mackinnon Travels (Pvt) Ltd,51016462,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
Nations Trust Bank,Mackinnon Keells Ltd,Nations Trust Bank,51005618,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
Ceylon Cold Stores PLC,John Keells Holdings,Ceylon Cold Stores PLC,50215812,,https://raw.githubusercontent.com/kasun898/crm_data/main/ceylon-cold-stores.png,,,,,,,,,,,,,,,,,,
JayKay Marketing Services (Pvt) Ltd,Ceylon Cold Stores PLC,JayKay Marketing Services (Pvt) Ltd,50338066,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
The Colombo Ice Company (Pvt) Ltd,Ceylon Cold Stores PLC,The Colombo Ice Company (Pvt) Ltd,50338066,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
Waterfront Properties (Pvt) Ltd,John Keells Holdings,Waterfront Properties (Pvt) Ltd,50289523,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
Ceylon Cold Stores PLC,Waterfront Properties (Pvt) Ltd,Ceylon Cold Stores PLC,50101468,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
Tea Smallholder Factories PLC,John Keells Holdings,Tea Smallholder Factories PLC,50239373,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
Union Assurance PLC,John Keells Holdings,Union Assurance PLC,51005372,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
Fairfirst Insurance Ltd,John Keells Holdings,Fairfirst Insurance Ltd,50229561,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
DHL Keells (Pvt) Ltd,John Keells Holdings,DHL Keells (Pvt) Ltd,50677814,,https://raw.githubusercontent.com/kasun898/crm_data/main/bl.png,,,,,,,,,,,,,,,,,,
